recordlocator,firstname,lastname,nbame,nameb,namec,named,email,city,state,zip,empID,hiredt,postalcode,aldd,dksls,ddcikk,dkc111122,lkjfssic445,lkkscck,word
30103 | Yes # 6711540 | Red,Shannon,Moon,NULL,NULL,NULL,Moon.      Shannon,lwjyzbui.xisoj@zbzboxzop.zbx-cm.org,Richmond,Wyoming,23968,76435,5/8/1994,38467,not secret,1986476870,-1490974788,995472700,5/8/1994,-641901803,beginning
75058 | Yes # 1854045 | Blue,Esteban,Montgomery,NULL,NULL,MontgomeryCOMMAEsteban,NULL,gufi.wtys@iuihle.zwyijk.org,Mobile,Florida,7262,39246,2/7/1958,84487,not secret,756621847,-1875616786,-847128075,2/7/1958,-11810327,unfortunately
20306 | Yes # 5110805 | Red,Karrie,Carr,NULL,NULL,NULL,Carr.      Karrie,gvsu.qcjxrkb@yhgaq.upoycg.org,Raleigh,Alabama,44276,79789,7/14/2004,89761,not secret,856838278,-203872320,-1698390006,7/14/2004,-1754911884,"accommodate,˜accommodation"
38996 | Yes # 3402780 | Red,Trina,Ortiz,NULL,NULL,NULL,Ortiz.      Trina,kuxocqx@rryitu.org,Montgomery,Delaware,80331,80526,10/22/1983,63351,not secret,608222361,NULL,-1590271540,10/22/1983,-4468533,coming
71236 | Yes # 6244607 | Red,Clay,NULL,NULL,NULL,NULL,NULL,NULL,Virginia Beach,Maryland,88556,34700,8/25/1999,94369,top secret,-710302398,1099246949,-1574497802,8/25/1999,937634297,tounge
41665 | No # 2605584 | Yellow,Kari,Sellers,NULL,Sellers.Kari12345,NULL,NULL,mvgu@iiqm.lerabu.net,NULL,Alabama,51764,62352,3/2/1960,94279,not secret,-413780096,-1142400100,870013112,3/2/1960,392458081,incidently
07183 | No # 3026167 | Blue,Sam,Davila,NULL,NULL,DavilaCOMMASam,NULL,xagzyifd4@coyjrw.net,Chicago,Louisiana,17302,13043,1/20/2005,96810,not secret,1109368201,-1715638429,1340213116,1/20/2005,424837066,occasion
99274 | No # 1897641 | Black,Marco,Estes,Estes     .Marco,NULL,NULL,NULL,lpmit27@wvpv.vemgwb.com,Garland,NULL,23934,31407,1/14/1991,92738,not secret,-1480721309,-151048838,-1970931572,1/14/1991,-291209559,unforeseen
63625 | Yes # 7535281 | Yellow,Leo,Durham,NULL,Durham.Leo12345,NULL,NULL,xojptrk.mllurewu@mmrsnt.net,Bakersfield,Rhode Island,55576,51022,8/17/1989,3792,not secret,1817720568,-652084617,380152595,8/17/1989,-1326246134,pavillion
78692 | No # 5090300 | Black,Roberta,Mullen,Mullen     .Roberta,NULL,NULL,NULL,mjkujz11@avzoic.com,San Francisco,Pennsylvania,88227,4929,5/13/1978,28727,not secret,-294475444,-25194761,1730078104,5/13/1978,-1571058034,wich
48531 | Yes # 7952093 | Blue,Marianne,Mckay,NULL,NULL,MckayCOMMAMarianne,NULL,daqmyoc.wuvudyows@nhaszlm.mbikjs.com,San Francisco,Arizona,5060,43817,2/2/1964,31468,not secret,367781390,-2086018599,487471664,2/2/1964,-313658188,occurrence
15605 | Yes # 6813491 | Red,Cary,Shepherd,NULL,NULL,NULL,Shepherd.      Cary,bkii.dcjc@isuvqi.net,Mobile,Utah,NULL,70304,4/14/1953,6282,not secret,838970015,338694998,-1836844235,4/14/1953,219485965,definitely
38865 | No # 6611617 | Yellow,Shauna,Grimes,NULL,Grimes.Shauna12345,NULL,NULL,tyvvxn39@xksqay.net,Cincinnati,Montana,67915,41797,3/23/1953,21027,not secret,-1140337742,-427626530,-1659439661,3/23/1953,1090068269,until
46896 | Yes # 7690676 | Yellow,Sherri,Valentine,NULL,Valentine.Sherri12345,NULL,NULL,axmn21@kasluy.net,Garland,New Jersey,8721,33779,2/2/1981,54225,not secret,-52699737,326146875,-1489340256,2/2/1981,1018197120,environment
37738 | No # 6032058 | Black,Alex,Weaver,Weaver     .Alex,NULL,NULL,NULL,nkrx03@ifmucd.com,Arlington,Delaware,33418,82296,12/1/1960,43563,not secret,-1610623406,-445935579,18461634,12/1/1960,-1534948954,idiosyncracy
63911 | Yes # 6386986 | Yellow,Chanda,Daniels,NULL,Daniels.Chanda12345,NULL,NULL,oadrkat.cjrkl@lwlitl.zuynpe.com,Little Rock,Iowa,85330,82774,1/29/1957,35616,not secret,1757808892,1844761817,200184058,1/29/1957,607161938,Portugese
87535 | Yes # 0100578 | Black,Gerald,Reed,Reed     .Gerald,NULL,NULL,NULL,tuukr.nlunsduv@aeazmo.com,Cincinnati,Connecticut,8558,4065,10/6/1974,9285,top secret,-507007142,978996475,-1854512797,10/6/1974,31057930,successful
64077 | Yes # 1216767 | Black,Mark,Knight,Knight     .Mark,NULL,NULL,NULL,tdwlmdji8@iubi-n.org,Greensboro,Georgia,89939,78390,6/16/1958,77858,not secret,-2134439659,-107018146,-639402434,6/16/1958,778497125,fourty
38800 | Yes # 2389128 | Black,Salvador,Bright,Bright     .Salvador,NULL,NULL,NULL,dfzyo.jqhghhxpmb@djqdyj.net,Madison,Nebraska,95287,82405,8/19/1971,63340,not secret,-2024882580,-313179223,643047986,8/19/1971,790042871,supersede
NULL,Janelle,Kaiser,NULL,NULL,NULL,NULL,kyqma69@xoiyvh.com,Indianapolis,North Carolina,23966,26448,1/25/1963,27614,not secret,-1013546023,260223458,636286238,1/25/1963,-1054534805,foward
96336 | No # 4431462 | Blue,Victor,Gamble,NULL,NULL,GambleCOMMAVictor,NULL,uleqhax40@pwplau.-wgqon.org,Riverside,Montana,45644,92444,4/1/2003,19288,top secret,878815668,824916129,-439511244,4/1/2003,-1291848856,glamorous
00280 | No # 4374941 | Black,Melisa,Bender,Bender     .Melisa,NULL,NULL,NULL,vlvwhbeh34@bdywzist.vnkhxc.com,Tulsa,Maryland,66495,46890,2/24/1985,51585,not secret,-1651809975,-1732905281,-1810609612,2/24/1985,1408697042,tendancy
11894 | No # 5446606 | Yellow,Rhonda,Chung,NULL,Chung.Rhonda12345,NULL,NULL,uyvgwret53@icvud.rotiby.net,Birmingham,Kentucky,50933,27691,NULL,4695,not secret,-1345815363,657467967,-2019660695,NULL,-259026459,succesful
36125 | Yes # 0789835 | Black,Joy,Price,Price     .Joy,NULL,NULL,NULL,wtgdsgo92@dmwdj.ceimcz.net,Greensboro,Washington,86893,23379,4/8/1954,69636,not secret,-1617890949,1682738026,-695688560,4/8/1954,-206817,ecstasy
46344 | No # 4674623 | Blue,Walter,Farley,NULL,NULL,FarleyCOMMAWalter,NULL,fflexrw.elqwe@xoryoa.net,Nashville,Alaska,59861,17615,8/21/1989,49409,not secret,614379945,83047928,-1699297163,8/21/1989,1969409246,NULL
14589 | No # 0771565 | Red,Alfred,Ramsey,NULL,NULL,NULL,Ramsey.      Alfred,sowdngd@gwtgux.org,New Orleans,Massachusetts,14180,45527,12/10/1968,8546,top secret,-2103657008,NULL,1763622486,12/10/1968,-546022380,florescent
43133 | Yes # 8676768 | Black,Becky,Lamb,Lamb     .Becky,NULL,NULL,NULL,rrtoy6@vudhel.com,San Francisco,New Jersey,84577,33464,6/29/1967,88870,not secret,95838694,-83096732,-796391456,6/29/1967,-1920969818,tongue
51690 | Yes # 7827633 | Yellow,Joe,Kaufman,NULL,Kaufman.Joe12345,NULL,NULL,sjmbi.voxd@ajif.zzxtyq.com,San Jose,Wyoming,29002,18117,4/17/1987,48753,not secret,1233868918,859897922,-58995478,4/17/1987,-636730731,apparantly
55181 | No # 1762200 | Blue,Latonya,Graves,NULL,NULL,GravesCOMMALatonya,NULL,ccey.yafwhqjb@urmflv.com,Chicago,New Hampshire,78947,82462,10/24/2000,2265,not secret,-966198932,-1519856900,-1102236312,10/24/2000,-1423587970,honorary
97058 | Yes # 4045030 | Blue,Glenn,Pena,NULL,NULL,PenaCOMMAGlenn,NULL,drmj.kvmm@qpfuiv.net,Shreveport,Alaska,84208,42273,8/12/1960,18304,not secret,-431176156,1720174020,1803199129,8/12/1960,1496944212,"accommodate,˜accommodation"
05216 | No # 5752380 | Yellow,Jess,Villegas,NULL,Villegas.Jess12345,NULL,NULL,apexku.eijgqivav@fkldwk.net,Omaha,Vermont,49578,2094,9/20/2005,75268,not secret,594017402,-1034217622,-773458475,9/20/2005,1031605679,"aggressive,˜aggression"
87662 | Yes # 4668643 | Black,Nicole,Harding,Harding     .Nicole,NULL,NULL,NULL,flrxqz.omoyc@rddjfitfz.rpaokh.com,Long Beach,Nebraska,7964,70046,12/13/1965,26701,not secret,1979930879,1117187641,-139861200,12/13/1965,1238273689,bizarre
28258 | Yes # 9457395 | Yellow,Benjamin,Gould,NULL,Gould.Benjamin12345,NULL,NULL,itvml.rnhogpbfh@samclf.net,Boston,North Dakota,1957,35995,7/16/2000,19909,not secret,-267316718,683737937,907536226,7/16/2000,1027738458,happened
78253 | No # 8375916 | Red,Sonia,Marsh,NULL,NULL,NULL,Marsh.      Sonia,ykxfdebg.herlcnumr@pitujo.com,NULL,Connecticut,65719,50083,3/13/1977,49589,not secret,157131170,-1059896041,-1463092046,3/13/1977,952899542,tendancy
74098 | Yes # 5572748 | Blue,Dennis,Meza,NULL,NULL,MezaCOMMADennis,NULL,fhpvjuw.ejeiizzq@zyizoxxi.dksoqa.com,Las Vegas,Virginia,77629,48308,7/5/2000,64313,not secret,490809547,-1661168297,-489133968,7/5/2000,447275162,foward
09951 | Yes # 4732072 | Black,Diana,Mercer,Mercer     .Diana,NULL,NULL,NULL,sjiq@gowgjt.org,Arlington,Kansas,8512,6986,10/14/1993,17489,not secret,-1371436129,1883853430,839543477,10/14/1993,1547755737,"referred, referring"
44644 | No # 6960553 | Blue,Ryan,Ali,NULL,NULL,AliCOMMARyan,NULL,hmgxiaxm@kungu-.org,Virginia Beach,South Carolina,74189,31373,3/15/1999,37002,top secret,1176146766,-489971759,1520075358,3/15/1999,621569269,apparently
34917 | No # 4061587 | Black,Dominick,Knapp,Knapp     .Dominick,NULL,NULL,NULL,brtfvqh064@hevqq.lvdjcq.net,Nashville,California,60303,74652,8/8/1974,89164,not secret,-1801758564,-31747981,2038324112,8/8/1974,487458383,glamourous
94302 | No # 3925527 | Black,Bobby,Glass,Glass     .Bobby,NULL,NULL,NULL,bpmkmx7@stollffpt.jlejpv.org,Grand Rapids,South Carolina,2794,54611,7/17/1974,50956,not secret,1058931640,1348111062,1353435769,7/17/1974,307650828,forty
98733 | No # 9214845 | Black,Gary,Berry,Berry     .Gary,NULL,NULL,NULL,jbetuh2@rqluny.net,Baltimore,Kansas,63920,61975,11/17/2005,39650,not secret,-2085564062,-846299516,-2098139421,11/17/2005,1864003950,supercede
88610 | Yes # 4752496 | Blue,Carol,Khan,NULL,NULL,KhanCOMMACarol,NULL,ksey961@wcud.zxyzg-.net,Corpus Christi,Arkansas,47736,16153,7/10/1996,31299,not secret,191145237,-132441884,-783378639,7/10/1996,127406016,foreign
77590 | Yes # 1337158 | Black,Jessica,Steele,Steele     .Jessica,NULL,NULL,NULL,ggbx.qmsyvu@dpwqhggch.mbvqzx.com,Austin,Alabama,48817,94966,8/14/1992,13946,not secret,242404811,-1018109918,-2090759116,8/14/1992,1647939898,Caribbean
33740 | No # 6525856 | Black,Tim,Nunez,Nunez     .Tim,NULL,NULL,NULL,ufrucat5@zjfvtjdqt.sdzekv.net,San Antonio,Montana,17524,78631,12/4/1954,74689,not secret,333424144,-1561003763,1662469133,12/4/1954,-2110714780,irresistable
80079 | No # 4948660 | Black,Timmy,Ferrell,Ferrell     .Timmy,NULL,NULL,NULL,muil.minv@osycwc.net,Omaha,New York,86392,58665,9/26/1972,59976,not secret,-1894937476,-1166581965,557501878,9/26/1972,-1375612038,threshhold
67159 | No # 0294880 | Yellow,Grant,Villegas,NULL,Villegas.Grant12345,NULL,NULL,xquz.nnvxpxqrbi@ifikvh.net,San Jose,Alabama,80414,88552,9/26/1978,96104,not secret,-369941671,-2071688465,838921611,9/26/1978,1791629768,curiosity
40247 | Yes # 4134687 | Black,Devon,Whitaker,Whitaker     .Devon,NULL,NULL,NULL,czfv98@zivw.ympezd.net,Tucson,Montana,85493,35576,1/2/2002,88656,top secret,-738631472,152477852,-791987596,1/2/2002,844030475,irresistable
35175 | Yes # 9895043 | Yellow,Lance,Woods,NULL,Woods.Lance12345,NULL,NULL,phiuq.umgrbnh@iytoei.com,Baton Rouge,North Carolina,73376,51076,7/3/2006,58074,not secret,2042070292,1678173463,1957143527,7/3/2006,-1367549933,fluorescent
81258 | No # 5364636 | Blue,Bart,Craig,NULL,NULL,CraigCOMMABart,NULL,mvkxf7@poznifq.mbdvxq.com,Montgomery,Missouri,89457,88824,11/11/1971,60477,not secret,391386446,-765309534,195107007,11/11/1971,1307901554,freind
99438 | No # 0325854 | Red,Philip,Boyer,NULL,NULL,NULL,Boyer.      Philip,wbkjmgtq@oknxxe.kovony.org,Aurora,Colorado,73803,73091,8/11/1961,75960,not secret,-1709821270,-925865089,-437237668,8/11/1961,-845343720,Caribbean
75765 | Yes # 8364891 | Yellow,Sonny,Brooks,NULL,Brooks.Sonny12345,NULL,NULL,lnry.efriuwiu@oabncohy.yblamw.com,Montgomery,Nevada,85505,4087,5/23/2005,45490,not secret,1179046285,-1366988553,-1858544286,5/23/2005,1872216762,truly
70059 | Yes # 8011594 | Black,Seth,Washington,Washington     .Seth,NULL,NULL,NULL,kicpwme851@qfpaowp.wfteuh.net,Boston,Iowa,22482,43243,8/16/1999,21895,not secret,-780045571,1073529466,-1617985447,8/16/1999,2146311215,immediately
66888 | No # 5269152 | Red,Sonny,Barr,NULL,NULL,NULL,Barr.      Sonny,emjnymgq.wdytsvk@fklhnt.net,Shreveport,Oregon,72335,89187,10/20/1997,51752,not secret,-1487715346,1518795284,1302723527,10/20/1997,-1312137713,definitely
62053 | Yes # 5395421 | Black,Nathaniel,Johns,Johns     .Nathaniel,NULL,NULL,NULL,wvqrxr.ctulez@--lucn.net,Stockton,North Carolina,51081,88277,1/9/1989,97491,not secret,-1587890809,1199015506,1478497906,1/9/1989,-390558637,"occurance, occurence"
65233 | No # 0153229 | Blue,Oliver,Brennan,NULL,NULL,BrennanCOMMAOliver,NULL,ewmt.vtgajubvz@cpcq.fflchn.org,Honolulu,Pennsylvania,22374,55318,8/7/1971,82892,top secret,1599880333,1395219435,-1855382695,8/7/1971,308441673,immediately
00873 | Yes # 1724804 | Red,Darryl,Patel,NULL,NULL,NULL,Patel.      Darryl,iixv.ffxyybedpf@bzvaywea.ehpvgk.com,Philadelphia,Utah,17191,43387,9/3/1965,12761,not secret,1897697651,1533194356,-1142290304,9/3/1965,1117731711,"accomodate, accomodation"
80500 | No # 9703716 | Blue,Tina,Pacheco,NULL,NULL,PachecoCOMMATina,NULL,bwfiz@doacqg.cmhahj.org,Corpus Christi,Utah,66785,67342,7/27/1998,65875,not secret,-863089948,653889689,-2099772909,7/27/1998,1369105006,government
68323 | Yes # 1915126 | Red,Leticia,Coffey,NULL,NULL,NULL,Coffey.      Leticia,mkaxh6@oh-vat.org,Tampa,New Mexico,9627,53464,4/6/2001,17562,not secret,764732174,1519993976,NULL,4/6/2001,2110885051,"accomodate, accomodation"
32414 | Yes # 2189317 | Black,Darrick,Schwartz,Schwartz     .Darrick,NULL,NULL,NULL,hsqz.btsuci@vpvpg.xnmyfq.org,Sacramento,Utah,34875,18510,4/8/1999,42386,not secret,2133779094,407689602,-2097321534,4/8/1999,-386882954,religious
80110 | No # 6430817 | Yellow,Esteban,Costa,NULL,Costa.Esteban12345,NULL,NULL,vhko13@wkwnkw.lawml-.com,Seattle,Wisconsin,40328,52742,9/17/1957,54381,not secret,1804915924,357285029,-880510518,9/17/1957,1188972220,recieve
95482 | Yes # 4110422 | Red,Marcos,Yu,NULL,NULL,NULL,Yu.      Marcos,fxtfrt.cykjnix@nhsuzj.org,Wichita,Rhode Island,24837,22420,2/28/1997,43907,not secret,-233816632,-433402984,1408763624,2/28/1997,-1282427244,neccessary
14224 | No # 3577018 | Red,Rudy,Kerr,NULL,NULL,NULL,Kerr.      Rudy,kupfk90@jdit-x.net,Colorado,Michigan,7047,79201,1/16/1990,9069,not secret,-1017476015,1606839774,904796542,1/16/1990,1774725583,"referred, referring"
17353 | Yes # 6060981 | Blue,Ernest,Payne,NULL,NULL,PayneCOMMAErnest,NULL,amadei@sfnpog.net,Birmingham,Florida,37657,54682,7/7/2004,21117,not secret,-884033788,1643048409,1826359972,7/7/2004,1012611324,calender
39765 | Yes # 0802449 | Blue,Annie,Walton,NULL,NULL,WaltonCOMMAAnnie,NULL,hrpdlmn315@eubdjq.com,Raleigh,South Dakota,69484,18180,10/31/2006,1034,not secret,117801870,1421917992,-1985142749,10/31/2006,1575776455,gaurd
06248 | Yes # 0651787 | Blue,Julia,Berg,NULL,NULL,BergCOMMAJulia,NULL,jlpd0@auspa-.net,St. Louis,Wisconsin,23195,43203,7/21/2007,52540,not secret,-889018758,360846442,-331285264,7/21/2007,-487760288,incidently
25721 | Yes # 7036284 | Red,Rolando,Hays,NULL,NULL,NULL,Hays.      Rolando,nqxdtsdc.snkxixlido@yfksdtzhd.fbv-ms.com,Nashville,Minnesota,53746,42512,5/2/2007,67403,not secret,103931009,-1298285392,-2065177874,5/2/2007,-938768063,business
37829 | Yes # 8070929 | Red,Leonardo,Proctor,NULL,NULL,NULL,Proctor.      Leonardo,lbnoi148@witjr.s-pjbn.net,Sacramento,Illinois,67211,83349,2/2/1978,41926,not secret,-713114449,1477098313,-807259083,2/2/1978,544768652,disappear
68181 | Yes # 6754586 | Red,Timmy,Young,NULL,NULL,NULL,Young.      Timmy,gibh6@fqkwdozge.jyxhli.net,Las Vegas,Arkansas,48783,21645,1/31/1997,57256,top secret,1964033447,1529336868,1513299712,1/31/1997,-1093853343,NULL
30419 | Yes # 2391339 | Blue,Leroy,Joseph,NULL,NULL,JosephCOMMALeroy,NULL,qccz.kawcfk@lfnshvpmq.xkm-iz.com,Tacoma,Virginia,58226,76032,3/3/1954,14798,not secret,798042728,-1113207082,1400420603,3/3/1954,1510587151,completly
16602 | Yes # 1524357 | Red,Karin,Cantu,NULL,NULL,NULL,Cantu.      Karin,ptbi67@rxbtqimsu.azjdmz.org,Buffalo,New Mexico,83080,3248,7/30/1971,81894,not secret,1969064797,1682227025,83376024,7/30/1971,-166001334,bizarre
58625 | No # 3385108 | Blue,Jon,O'Connell,NULL,NULL,O'ConnellCOMMAJon,NULL,ekrxmh.adfha@lusadu.org,Yonkers,Iowa,31299,87675,6/10/1967,75929,top secret,-1947932937,-440709379,712342283,6/10/1967,-836807762,humourous
03329 | Yes # 9026681 | Yellow,Jill,Chambers,NULL,Chambers.Jill12345,NULL,NULL,qevwpi.bfdpc@kuyyh.mnsnqy.com,Mesa,Missouri,18169,53160,11/21/1989,21796,not secret,1676868751,-1340703543,-1987768258,11/21/1989,-1516192970,committee
97842 | Yes # 2426488 | Red,Raquel,Chambers,NULL,NULL,NULL,Chambers.      Raquel,xwtzw6@jdhebwyh.-hgfww.org,Anchorage,Arizona,95843,7966,6/24/1990,58577,top secret,1352304214,-894108774,-1411794257,6/24/1990,-1603103419,dilemma
96223 | No # 4971234 | Yellow,Danielle,Gill,NULL,Gill.Danielle12345,NULL,NULL,rcizknbd62@sjsoebjmv.izikqq.net,Norfolk,Maryland,23034,39753,3/22/1953,69603,not secret,1496811770,470589679,-1826575374,3/22/1953,2027603576,freind
19220 | No # 8817644 | Red,Ismael,Arias,NULL,NULL,NULL,Arias.      Ismael,sxbobgzp743@ypxnis.tegtpk.org,Richmond,Idaho,83796,51910,7/29/1960,97952,not secret,-557337817,-515697972,1528871788,7/29/1960,1146719757,"millennium, millennia"
19718 | Yes # 1234512 | Black,Sherry,Lowe,Lowe     .Sherry,NULL,NULL,NULL,msnnn.eimoovitjg@lvsdpkq.whgqnl.com,Memphis,New Jersey,97697,73466,2/8/1983,34745,not secret,849809886,-1512841782,-792716447,2/8/1983,-153362884,incidently
74296 | No # 0043208 | Black,Julio,Baxter,Baxter     .Julio,NULL,NULL,NULL,azvoax0@flkxnh.org,Montgomery,Missouri,75847,75579,6/12/1978,32803,not secret,1321546300,675027129,239370216,6/12/1978,1560931806,idiosyncrasy
79137 | Yes # 7600630 | Yellow,Myron,Pacheco,NULL,Pacheco.Myron12345,NULL,NULL,utpxd.ewavacfu@ktknjc.org,Louisville,Vermont,69832,40612,4/29/2001,81713,not secret,850752567,544590051,-1973675821,4/29/2001,1028095074,dilemna
27902 | Yes # 2261410 | Red,Damien,Stuart,NULL,NULL,NULL,Stuart.      Damien,gjsk@tvulbs.pspofs.org,Tacoma,Ohio,3045,33731,5/31/1965,31322,top secret,-1710893157,-1647611062,-486031039,5/31/1965,1776414193,happened
49821 | Yes # 3052580 | Yellow,Shauna,Fox,NULL,Fox.Shauna12345,NULL,NULL,rsncopfk.bwnrtlg@jj-hhs.org,Toledo,Washington,39640,92402,7/13/1983,86233,not secret,-1627365355,-1742133628,-2104406164,7/13/1983,478321689,curiosity
77928 | No # 6281128 | Yellow,Sarah,Hopkins,NULL,Hopkins.Sarah12345,NULL,NULL,uupvc07@tynkdx.org,Colorado,Montana,NULL,93328,8/19/1995,27946,not secret,-1787628383,833907834,-181448748,8/19/1995,121309505,"rember, remeber"
05242 | Yes # 7559770 | Blue,Mia,Austin,NULL,NULL,AustinCOMMAMia,NULL,dyzd2@qjfjmu.com,Wichita,Rhode Island,52296,44189,6/9/1970,80343,not secret,-431032850,1978148872,244739042,6/9/1970,-350435524,religious
90630 | No # 5719230 | Red,Colby,Duncan,NULL,NULL,NULL,Duncan.      Colby,brzqf.ppunvzwkhw@vqgcvo.com,Albuquerque,Colorado,39776,35061,8/19/2003,86611,not secret,1644073874,1016183711,2118574155,8/19/2003,883015785,which
96528 | Yes # 3226384 | Black,NULL,Sandoval,NULL,NULL,NULL,NULL,NULL,Minneapolis,Utah,78657,4848,9/6/1978,77391,top secret,245302403,1274803501,-1134249933,9/6/1978,-849333354,possession
49211 | Yes # 1077052 | Blue,Barbara,Fields,NULL,NULL,FieldsCOMMABarbara,NULL,zundcp9@jsetdg.-oxbne.org,New Orleans,Alaska,85078,14156,6/3/2003,91226,not secret,154053041,1389161902,890125677,6/3/2003,-1658631819,across
47815 | Yes # 6231812 | Yellow,Joel,Jimenez,NULL,Jimenez.Joel12345,NULL,NULL,xqisu.ouisxcjaf@jkbn-v.net,Grand Rapids,Oregon,15196,77317,12/28/1968,80967,not secret,-202528776,-567714043,737818111,12/28/1968,-624425989,irresistable
71816 | No # 3559717 | Red,Darrin,Boyd,NULL,NULL,NULL,Boyd.      Darrin,ljpqnr866@mayevw.bjvtrj.net,Stockton,Vermont,27360,35469,12/3/1984,69793,not secret,791141496,1184237027,193534023,12/3/1984,-1321583184,whereever
04675 | Yes # 4711192 | Red,Albert,Grant,NULL,NULL,NULL,Grant.      Albert,ypgydpk880@mkshawfoq.hnhamu.net,Greensboro,Washington,23626,93029,12/11/1981,86516,not secret,-1756149821,902078713,-1128277722,12/11/1981,-1981878145,conscious
51003 | No # 6037302 | Yellow,Duane,Cohen,NULL,Cohen.Duane12345,NULL,NULL,ucefjsga7@vlyx.akj-cj.net,Columbus,Indiana,17215,55560,7/10/1964,83585,not secret,-1997276032,-2033451434,523532317,7/10/1964,923928290,unforseen
34001 | Yes # 7544454 | Blue,Leroy,Jennings,NULL,NULL,JenningsCOMMALeroy,NULL,qpgj.ytgizga@-tnvhi.com,Fort Wayne,Arizona,68307,49871,12/11/1954,95445,not secret,929063353,66099244,962618291,12/11/1954,1465413942,tattoo
44107 | Yes # 4897223 | Blue,NULL,Flores,NULL,NULL,NULL,NULL,NULL,San Diego,Oklahoma,93393,72848,7/9/2000,41806,not secret,1639511968,-1479947163,-1774068424,7/9/2000,-1438398466,propaganda
68842 | Yes # 5735911 | Red,Nora,Petersen,NULL,NULL,NULL,Petersen.      Nora,nqoenw7@ljfa.yhgaro.net,Little Rock,Washington,25903,1710,12/8/2007,51402,not secret,-1637715194,-1351565890,-1451756352,12/8/2007,-2075444203,recieve
95851 | No # 2052122 | Blue,Olivia,Huber,NULL,NULL,HuberCOMMAOlivia,NULL,wzlnrqdj.gpwxewod@fdstpu.org,Philadelphia,Colorado,11474,25465,11/21/1969,39763,not secret,1648717328,471892335,160824408,11/21/1969,471589842,dissapoint
09866 | No # 4252454 | Blue,Jeremiah,Schmitt,NULL,NULL,SchmittCOMMAJeremiah,NULL,cexyrkin0@qwayksae.mn--xr.org,Long Beach,Alaska,59948,25855,5/18/1985,37348,not secret,-1271093524,-1973011626,-977176146,5/18/1985,-1264000733,pavillion
81274 | No # 1353680 | Blue,Kimberley,Clarke,NULL,NULL,ClarkeCOMMAKimberley,NULL,xxnbg39@rlwcnr.grvfbc.net,St. Paul,Vermont,51785,2174,11/2/1968,6796,not secret,-1941269033,-239204915,1624060799,11/2/1968,-831417275,propoganda
93812 | Yes # 9443520 | Black,Megan,Leon,Leon     .Megan,NULL,NULL,NULL,rjyqn.tueogjmop@lmzqlmji.pwqujc.com,Houston,Vermont,12026,95439,1/3/2000,82344,not secret,-347348042,-1447577163,-357934418,1/3/2000,-305634961,separate
24309 | No # 1673063 | Yellow,Clayton,Cantrell,NULL,Cantrell.Clayton12345,NULL,NULL,bjhyz0@kfucet.net,Wichita,Hawaii,93939,74521,10/14/1993,78965,not secret,NULL,75859899,-582822047,10/14/1993,-1977028080,curiousity
27426 | Yes # 3233958 | Black,Keri,Stephenson,Stephenson     .Keri,NULL,NULL,NULL,ltbxl268@ecvunge.l-gonn.net,Raleigh,Nebraska,70439,4414,5/16/1955,17035,not secret,844313472,-1538826868,1269995765,5/16/1955,-922083450,politician
77437 | Yes # 2574518 | Blue,Jordan,Harris,NULL,NULL,HarrisCOMMAJordan,NULL,pmrwysrv.yattvuyou@zqzpnfk.ljyicp.org,Cleveland,Georgia,19384,98354,5/28/1973,83241,not secret,-729823342,2130896442,1802593890,5/28/1973,-818296052,"aggressive,˜aggression"
82246 | No # 9098538 | Yellow,Elisa,Key,NULL,Key.Elisa12345,NULL,NULL,gkmlzej571@zsqqpw.gkmgid.net,NULL,Rhode Island,15554,22663,8/25/1953,90330,not secret,-650342363,192466791,-1776710232,8/25/1953,1695678058,friend
88118 | No # 8184386 | Yellow,Mitchell,Dillon,NULL,Dillon.Mitchell12345,NULL,NULL,lmqe@vlbsseyy.twurnf.net,St. Petersburg,Alabama,71814,4150,1/30/1970,56448,not secret,-476144247,-1820051320,771516696,1/30/1970,1235308470,weird
80288 | Yes # 0126878 | Red,Jo,Roth,NULL,NULL,NULL,Roth.      Jo,rpdr.diwlvg@zmfzvk.org,Riverside,Michigan,53099,72701,12/2/1957,5461,top secret,-1313706063,-139784474,1840337836,12/2/1957,727880794,"rember, remeber"
02025 | Yes # 2843740 | Black,Denise,House,House     .Denise,NULL,NULL,NULL,mahnz.dqzp@ypnxyv.tetoav.com,Anchorage,Oregon,89487,98578,5/2/2005,88548,not secret,613975584,1577021948,63414412,5/2/2005,755594451,finally
74417 | Yes # 4300386 | Yellow,Stuart,Gaines,NULL,Gaines.Stuart12345,NULL,NULL,xsbwpuzh4@zcgrhn.vmcvfq.org,Charlotte,Tennessee,62986,78767,3/4/2002,36011,not secret,1643525781,-264165303,1243180322,3/4/2002,1660336887,"tommorow, tommorrow"
29711 | Yes # 6044402 | Blue,Jane,Buckley,NULL,NULL,BuckleyCOMMAJane,NULL,kxysxlci79@vqpoqi.com,Greensboro,Arizona,42137,34180,7/3/1968,54055,not secret,-327088988,369611228,-487881266,7/3/1968,-687234805,concious
22995 | No # 7226548 | Black,Jolene,Valentine,Valentine     .Jolene,NULL,NULL,NULL,ejvjej.qztyxjutg@uyfp.o-rler.net,Tucson,Idaho,63721,195,2/23/1962,84886,not secret,284845189,-407485127,1547169039,2/23/1962,-842834866,noticeable
